review_vi,review_pre,sentiment
Anh ấy cảm thấy không thoải mái với nhóm khi những người khác có quan điểm khác với anh ấy.,anh_ấy cảm thấy không thoải mái với nhóm khi những người khác có quan điểm khác với anh_ấy.,negative
Anh ấy luôn có tư duy tích cực và luôn tìm cách giúp đỡ người khác.,anh_ấy luôn có tư duy tích cực và luôn tìm cách giúp đỡ người khác.,positive
Anh ấy luôn có một tâm hồn rất tốt và nhân hậu.,anh_ấy luôn có một tâm hồn rất tốt và nhân hậu.,positive
Anh ta chỉ quan tâm đến mục tiêu của bản thân và từ chối hợp tác với nhóm.,anh ta chỉ quan tâm đến mục tiêu của bản thân và từ chối hợp tác với nhóm.,negative
Anh ấy đôi khi quá nóng tính và ảnh hưởng đến sự hài lòng của cả nhóm.,anh_ấy đôi khi quá nóng tính và ảnh hưởng đến sự hài lòng của cả nhóm.,negative
Anh ấy luôn có tâm trạng vui vẻ và giúp mọi người cảm thấy thoải mái.,anh_ấy luôn có tâm trạng vui vẻ và giúp mọi người cảm thấy thoải mái.,positive
Anh ấy đôi khi rất tự cao và không suy nghĩ kỹ trước khi nói.,anh_ấy đôi khi rất tự cao và không suy nghĩ kỹ trước khi nói.,negative
Anh ấy luôn giúp đỡ mọi người.,anh_ấy luôn giúp đỡ mọi người.,positive
"Anh luôn lắng nghe và đáp ứng nhu cầu của các thành viên trong nhóm, khiến mọi người đều cảm thấy thoải mái và hài lòng.","anh luôn lắng nghe và đáp ứng nhu cầu của các thành viên trong nhóm, khiến mọi người đều cảm thấy thoải mái và hài lòng.",positive
Anh ta cư xử thô lỗ đến mức ai cũng muốn tránh xa.,anh ta cư xử thô lỗ đến mức ai cũng muốn tránh xa.,negative
Anh ta thường bị đầu độc bởi các quan điểm và chỉ biết nói cho chính mình mà không lắng nghe người khác.,anh ta thường bị đầu độc bởi các quan điểm và chỉ biết nói cho chính mình mà không lắng nghe người khác.,negative
"Thầy luôn thân thiện và vui vẻ với mọi người trong lớp, khiến mọi người đều cảm thấy thoải mái.","thầy luôn thân thiện và vui vẻ với mọi người trong lớp, khiến mọi người đều cảm thấy thoải mái.",positive
Anh ấy thường xuyên cãi vã với mọi người và luôn muốn chiếm vị trí trung tâm.,anh_ấy thường xuyên cãi vã với mọi người và luôn muốn chiếm vị trí trung tâm.,negative
Thầy rất giỏi lắng nghe và có khả năng truyền đạt kiến ​​thức một cách dễ hiểu.,thầy rất giỏi lắng nghe và có khả năng truyền đạt kiến ​​thức một cách dễ hiểu.,positive
Anh ấy rất chăm chỉ và có sức chịu đựng vượt trội.,anh_ấy rất chăm chỉ và có sức chịu đựng vượt trội.,positive
"Anh ta thường chỉ nhìn những gương mặt quen thuộc, không nhìn những gương mặt mới và không có thiện cảm với người mới.","anh ta thường chỉ nhìn những gương mặt quen thuộc, không nhìn những gương mặt mới và không có thiện cảm với người mới.",negative
Anh ấy thường chỉ trích người khác mà không có những bình luận mang tính xây dựng.,anh_ấy thường chỉ trích người khác mà không có những bình luận mang tính xây dựng.,negative
Anh rất đam mê nghiên cứu và có kiến ​​thức sâu rộng.,anh rất đam mê nghiên cứu và có kiến ​​thức sâu rộng.,positive
Anh ấy rất đáng kính trọng và có đạo đức tốt.,anh_ấy rất đáng kính trọng và có đạo đức tốt.,positive
Anh ấy thường xuyên đá và không biết cách lắng nghe ý kiến ​​​​của người khác.,anh_ấy thường xuyên đá và không biết cách lắng nghe ý kiến ​​​​của người khác.,negative
Anh ấy dễ dàng thay đổi ý định và chỉ làm những gì mình thích.,anh_ấy dễ dàng thay đổi ý định và chỉ làm những gì mình thích.,negative
Anh ấy rất hiểu biết và luôn giữ lời hứa.,anh_ấy rất hiểu biết và luôn giữ lời hứa.,positive
Anh ấy dễ dàng tự mãn và luôn cố gắng thể hiện suy nghĩ của mình.,anh_ấy dễ dàng tự mãn và luôn cố gắng thể hiện suy nghĩ của mình.,negative
"Anh ấy rất hòa đồng và dễ gần, luôn sẵn sàng giúp đỡ mọi người.","anh_ấy rất hòa đồng và dễ gần, luôn sẵn sàng giúp đỡ mọi người.",positive
Anh ấy rất hòa đồng và giỏi giao tiếp với mọi người.,anh_ấy rất hòa đồng và giỏi giao tiếp với mọi người.,positive
Anh ta thường chú ý đến những chi tiết nhỏ mà không chú ý đến nhiệm vụ lớn hơn.,anh ta thường chú ý đến những chi tiết nhỏ mà không chú ý đến nhiệm vụ lớn hơn.,negative
Anh ấy rất năng động và có khả năng tập trung trong công việc.,anh_ấy rất năng động và có khả năng tập trung trong công việc.,positive
Anh ta độc đoán và không chấp nhận ý kiến ​​​​khác của nhóm.,anh ta độc đoán và không chấp nhận ý kiến ​​​​khác của nhóm.,negative
Anh thường đưa ra ý tưởng nhưng không có kế hoạch thực hiện cụ thể.,anh thường đưa ra ý tưởng nhưng không có kế hoạch thực hiện cụ thể.,negative
Thầy rất quan tâm đến sự phát triển của mỗi người trong lớp.,thầy rất quan tâm đến sự phát triển của mỗi người trong lớp.,positive
Anh ấy rất tận tâm và có trách nhiệm với công việc của mình.,anh_ấy rất tận tâm và có trách nhiệm với công việc của mình.,positive
Anh ấy thường dùng lời nói để chỉ trích và phán xét người khác.,anh_ấy thường dùng lời nói để chỉ trích và phán xét người khác.,negative
"Anh ấy rất thân thiện và dễ gần, giúp đỡ tôi nhiều việc.","anh_ấy rất thân thiện và dễ gần, giúp đỡ tôi nhiều việc.",positive
Anh ta thường dùng lời nói để đe dọa và không giúp đỡ người khác.,anh ta thường dùng lời nói để đe dọa và không giúp đỡ người khác.,negative
Anh ấy rất thân thiện và dễ thương.,anh_ấy rất thân thiện và dễ thương.,positive
Anh ta thường dùng lời nói để làm tổn thương người khác và không biết cách đối xử đúng mực với họ.,anh ta thường dùng lời nói để làm tổn thương người khác và không biết cách đối xử đúng mực với họ.,negative
Anh ấy rất thân thiện và luôn tạo môi trường thân thiện cho mọi người.,anh_ấy rất thân thiện và luôn tạo môi trường thân thiện cho mọi người.,positive
Anh ta thường viện cớ để chỉ trích người khác và không tiếp thu những ý kiến ​​mang tính xây dựng.,anh ta thường viện cớ để chỉ trích người khác và không tiếp thu những ý kiến ​​mang tính xây dựng.,negative
Anh ấy rất trung thực và luôn giữ lời hứa.,anh_ấy rất trung thực và luôn giữ lời hứa.,positive
Anh ta thường lợi dụng nỗi sợ hãi của người khác để tác động đến họ.,anh ta thường lợi dụng nỗi sợ hãi của người khác để tác động đến họ.,negative
"Anh ấy rất thông minh và sáng tạo, luôn tìm kiếm những giải pháp mới.","anh_ấy rất thông minh và sáng tạo, luôn tìm kiếm những giải pháp mới.",positive
Anh ấy thường tức giận và thái quá trong một số tình huống nhất định.,anh_ấy thường tức giận và thái quá trong một số tình huống nhất định.,negative
Anh ta thường phân biệt đối xử với người khác vì lý do chủ quan.,anh ta thường phân biệt đối xử với người khác vì lý do chủ quan.,negative
Bạn ấy rất thông minh và luôn giúp đỡ mọi người trong lớp.,bạn ấy rất thông minh và luôn giúp đỡ mọi người trong lớp.,positive
Anh ấy rất thú vị và luôn khiến mọi người cảm thấy vui vẻ.,anh_ấy rất thú vị và luôn khiến mọi người cảm thấy vui vẻ.,positive
Anh ta phàn nàn và chỉ trích người khác trong khi không đề cao được bản thân.,anh ta phàn nàn và chỉ trích người khác trong khi không đề cao được bản thân.,negative
Anh ấy rất tỉ mỉ và học tập chăm chỉ.,anh_ấy rất tỉ mỉ và học tập chăm chỉ.,positive
Anh ta thường phủ nhận lỗi của mình và đổ lỗi cho người khác.,anh ta thường phủ nhận lỗi của mình và đổ lỗi cho người khác.,negative
Anh ấy thường coi thường người khác và không biết cách đối xử tốt với họ.,anh_ấy thường coi thường người khác và không biết cách đối xử tốt với họ.,negative
Thầy rất tỉ mỉ và chuyên nghiệp trong hoạt động học tập của mình.,thầy rất tỉ mỉ và chuyên nghiệp trong hoạt động học tập của mình.,positive
Anh ấy không bao giờ biết lắng nghe và tôn trọng ý kiến ​​của người khác.,anh_ấy không bao giờ biết lắng nghe và tôn trọng ý kiến ​​của người khác.,negative
"Anh ấy rất tốt bụng và giàu lòng nhân ái, luôn sẵn sàng giúp đỡ người khác.","anh_ấy rất tốt bụng và giàu lòng nhân ái, luôn sẵn sàng giúp đỡ người khác.",positive
Anh ấy không bao giờ chấp nhận thất bại.,anh_ấy không bao giờ chấp nhận thất bại.,negative
Anh ấy rất tốt bụng và luôn sẵn lòng giúp đỡ người khác.,anh_ấy rất tốt bụng và luôn sẵn lòng giúp đỡ người khác.,positive
Anh ấy không bao giờ chia sẻ kiến ​​thức của mình và thường cố tình giấu thông tin.,anh_ấy không bao giờ chia sẻ kiến ​​thức của mình và thường cố tình giấu thông tin.,negative
Bạn tôi rất năng động và hoạt bát.,bạn tôi rất năng động và hoạt bát.,positive
Anh ấy không bao giờ đồng ý với ý kiến ​​của người khác.,anh_ấy không bao giờ đồng ý với ý kiến ​​của người khác.,negative
Bạn học của tôi đầy nhiệt huyết và có tinh thần cầu tiến.,bạn học của tôi đầy nhiệt huyết và có tinh thần cầu tiến.,positive
Anh ấy không bao giờ đưa ra những quyết định đúng đắn.,anh_ấy không bao giờ đưa ra những quyết định đúng đắn.,negative
Bạn cùng lớp của tôi luôn tự tin và tràn đầy năng lượng.,bạn cùng lớp của tôi luôn tự tin và tràn đầy năng lượng.,positive
Anh ta không bao giờ đúng và luôn có những hành động trái pháp luật.,anh ta không bao giờ đúng và luôn có những hành động trái pháp luật.,negative
Bạn cùng lớp của tôi có kỹ năng giao tiếp tốt và luôn tạo mối quan hệ tốt với mọi người.,bạn cùng lớp của tôi có kỹ năng giao tiếp tốt và luôn tạo mối quan hệ tốt với mọi người.,positive
Anh ta không bao giờ có thể giữ bí mật và thường tiết lộ thông tin cho người khác.,anh ta không bao giờ có thể giữ bí mật và thường tiết lộ thông tin cho người khác.,negative
Bạn cùng lớp của tôi có tố chất lãnh đạo tốt và luôn tìm cách truyền đạt kiến ​​thức cho người khác.,bạn cùng lớp của tôi có tố chất lãnh đạo tốt và luôn tìm cách truyền đạt kiến ​​thức cho người khác.,positive
Anh ấy không bao giờ sẵn lòng giúp đỡ người khác.,anh_ấy không bao giờ sẵn lòng giúp đỡ người khác.,negative
Bạn cùng lớp của tôi có thể truyền cảm hứng cho người khác và luôn sẵn sàng giúp đỡ.,bạn cùng lớp của tôi có thể truyền cảm hứng cho người khác và luôn sẵn sàng giúp đỡ.,positive
Anh ấy không biết cách lắng nghe và không muốn nghe ý kiến ​​​​của người khác.,anh_ấy không biết cách lắng nghe và không muốn nghe ý kiến ​​​​của người khác.,negative
Bạn cùng lớp của tôi có tính cách trung thực và luôn đưa ra lời khuyên chân thành cho người khác.,bạn cùng lớp của tôi có tính cách trung thực và luôn đưa ra lời khuyên chân thành cho người khác.,positive
Anh ta không nhất thiết phải góp phần giúp đỡ và không đáng tin cậy.,anh ta không nhất thiết phải góp phần giúp đỡ và không đáng tin cậy.,negative
Bạn cùng lớp của tôi là người có tầm nhìn rộng và luôn đưa ra góc nhìn đa chiều trong mọi vấn đề.,bạn cùng lớp của tôi là người có tầm nhìn rộng và luôn đưa ra góc nhìn đa chiều trong mọi vấn đề.,positive
Bạn cùng lớp của tôi là một người rất năng động và có tinh thần thử thách cao.,bạn cùng lớp của tôi là một người rất năng động và có tinh thần thử thách cao.,positive
Thầy không cho phép người khác bày tỏ ý kiến ​​trong lớp.,thầy không cho phép người khác bày tỏ ý kiến ​​trong lớp.,negative
Anh ấy không đóng góp tích cực cho nhóm.,anh_ấy không đóng góp tích cực cho nhóm.,negative
Bạn cùng lớp của tôi là một người rất khôn ngoan và có khả năng phân tích vấn đề tốt.,bạn cùng lớp của tôi là một người rất khôn ngoan và có khả năng phân tích vấn đề tốt.,positive
Anh không đủ năng lực để thực hiện một số nhiệm vụ trong dự án và chỉ cố gắng cho đến khi quá muộn.,anh không đủ năng lực để thực hiện một số nhiệm vụ trong dự án và chỉ cố gắng cho đến khi quá muộn.,negative
Bạn cùng lớp của tôi là một người rất hiểu chuyện và luôn đặt mối quan hệ với người khác lên hàng đầu.,bạn cùng lớp của tôi là một người rất hiểu chuyện và luôn đặt mối quan hệ với người khác lên hàng đầu.,positive
Anh ấy không cẩn thận chút nào.,anh_ấy không cẩn thận chút nào.,negative
Bạn cùng lớp của tôi rất chăm chỉ và có nghị lực vượt trội.,bạn cùng lớp của tôi rất chăm chỉ và có nghị lực vượt trội.,positive
Anh ấy không có trách nhiệm và luôn bỏ đi khi công việc chưa hoàn thành.,anh_ấy không có trách nhiệm và luôn bỏ đi khi công việc chưa hoàn thành.,negative
Bạn cùng lớp của tôi rất sáng tạo và có nhiều ý tưởng độc đáo.,bạn cùng lớp của tôi rất sáng tạo và có nhiều ý tưởng độc đáo.,positive
Anh ta vô trách nhiệm và luôn trốn tránh trách nhiệm của mình trong công việc.,anh ta vô trách nhiệm và luôn trốn tránh trách nhiệm của mình trong công việc.,negative
Bạn cùng lớp của tôi rất tỉnh táo và tập trung trong mọi hoạt động.,bạn cùng lớp của tôi rất tỉnh táo và tập trung trong mọi hoạt động.,positive
Anh ta không có tư duy sáng tạo và giữ nguyên những ý tưởng cũ.,anh ta không có tư duy sáng tạo và giữ nguyên những ý tưởng cũ.,negative
Bạn của bạn có tài quản lý nhóm và xử lý các tình huống khó khăn.,bạn của bạn có tài quản lý nhóm và xử lý các tình huống khó khăn.,positive
"Anh là người có đầu óc nhạy bén và luôn đưa ra những ý tưởng mới, phù hợp nhất cho công việc nhóm.","anh là người có đầu óc nhạy bén và luôn đưa ra những ý tưởng mới, phù hợp nhất cho công việc nhóm.",positive
Anh ta không có ý thức kỷ luật và thường làm giảm chất lượng công việc của nhóm.,anh ta không có ý thức kỷ luật và thường làm giảm chất lượng công việc của nhóm.,negative
Anh ta không đáng để tin tưởng.,anh ta không đáng để tin tưởng.,negative
"Bạn là người luôn có những ý tưởng mới mẻ, sáng tạo trong làm việc nhóm.","bạn là người luôn có những ý tưởng mới mẻ, sáng tạo trong làm việc nhóm.",positive
